,continent,location,date,total_vaccinations,people_partially_vaccinated,people_fully_vaccinated
347,Africa,Algeria,2022-01-09,12974545.0,7247787.0,5796432.0
348,Africa,Algeria,2022-02-08,13461201.0,7403900.0,6003539.0
349,Africa,Algeria,2022-02-20,13631683.0,7456361.0,6076272.0
350,Africa,Algeria,2022-03-09,13704895.0,7461932.0,6110712.0
351,Africa,Algeria,2022-04-24,13772044.0,7840131.0,6481186.0
352,Africa,Algeria,2022-05-01,15205854.0,7840131.0,6481186.0
353,Africa,Algeria,2022-09-04,15267442.0,7840131.0,6481186.0
354,Europe,Andorra,2021-03-08,3611.0,2439.0,1172.0
355,Europe,Andorra,2021-03-10,4914.0,3650.0,1264.0
356,Europe,Andorra,2021-03-15,8363.0,7098.0,1265.0
357,Europe,Andorra,2021-04-05,15269.0,9781.0,4484.0
358,Europe,Andorra,2021-04-19,26414.0,21733.0,4681.0
359,Europe,Andorra,2021-04-26,28503.0,23822.0,4681.0
360,Europe,Andorra,2021-05-03,28881.0,24182.0,4699.0
361,Europe,Andorra,2021-05-10,31633.0,26931.0,4702.0
362,Europe,Andorra,2021-05-17,32317.0,27613.0,4704.0
363,Europe,Andorra,2021-05-31,35916.0,27613.0,8303.0
364,Europe,Andorra,2021-06-07,41473.0,30535.0,10938.0
365,Europe,Andorra,2021-06-14,51107.0,34646.0,16416.0
366,Europe,Andorra,2021-06-21,63265.0,38667.0,24598.0
367,Europe,Andorra,2021-06-28,68329.0,41716.0,26613.0
368,Europe,Andorra,2021-07-12,70018.0,43008.0,27010.0
369,Europe,Andorra,2021-07-19,82349.0,48445.0,33904.0
370,Europe,Andorra,2021-08-01,86320.0,50747.0,35573.0
371,Europe,Andorra,2021-08-15,91660.0,51044.0,40616.0
372,Europe,Andorra,2021-08-29,95918.0,52910.0,43008.0
373,Europe,Andorra,2021-09-26,102032.0,54312.0,47720.0
374,Europe,Andorra,2021-10-03,102692.0,54383.0,48309.0
375,Europe,Andorra,2021-10-31,104534.0,54999.0,49535.0
376,Europe,Andorra,2021-12-05,106428.0,56095.0,50333.0
377,Europe,Andorra,2021-12-12,115709.0,56628.0,50551.0
378,Europe,Andorra,2021-12-26,117246.0,57085.0,51392.0
379,Europe,Andorra,2022-01-16,135421.0,57643.0,53046.0
380,Europe,Andorra,2022-01-23,140193.0,57709.0,53104.0
381,Europe,Andorra,2022-02-06,141962.0,57791.0,53208.0
382,Europe,Andorra,2022-02-13,142420.0,57797.0,53250.0
383,Europe,Andorra,2022-02-20,151284.0,57805.0,53301.0
384,Europe,Andorra,2022-03-13,151997.0,57817.0,53367.0
385,Europe,Andorra,2022-03-27,152187.0,57835.0,53389.0
386,Europe,Andorra,2022-04-10,152301.0,57850.0,53406.0
387,Europe,Andorra,2022-04-24,152463.0,57866.0,53414.0
388,Europe,Andorra,2022-05-01,152694.0,57874.0,53427.0
389,Europe,Andorra,2022-05-22,152991.0,57878.0,53442.0
390,Europe,Andorra,2022-05-29,153072.0,57880.0,53450.0
391,Europe,Andorra,2022-06-12,153177.0,57883.0,53453.0
392,Europe,Andorra,2022-06-26,153383.0,57886.0,53456.0
393,Europe,Andorra,2022-07-03,153447.0,57888.0,53459.0
394,Europe,Andorra,2022-07-10,153531.0,57888.0,53460.0
395,Europe,Andorra,2022-08-21,154077.0,57892.0,53474.0
396,Europe,Andorra,2022-09-04,154195.0,57893.0,53478.0
